"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","ROIName","contrastName","Group"
1,2948,294,1,0.156389,2,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.328855,2,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,0.112421,2,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.200464,2,2,"RIFG","non","RHLang-toLang"
5,462,46,1,-0.249593,2,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.09249,2,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.392133,2,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.634413,2,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,0.116291,2,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.479731,2,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,0.339064,2,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,-0.286561,2,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,1.076144,3,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,1.301305,3,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,0.368068,3,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,1.656601,3,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,1.384106,3,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,1.178182,3,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.325672,3,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.211741,3,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,0.008805,3,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.793222,3,2,"RIFG","non","RHLang-toLang"
5,462,46,1,0.757061,3,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.277645,3,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.750472,3,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,1.089564,3,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,0.359263,3,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.863379,3,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,0.627044,3,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.900537,3,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,1.460165,4,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,1.938116,4,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,0.434915,4,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,1.419728,4,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.755035,4,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,1.224603,4,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.661578,4,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.587839,4,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,0.242997,4,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.531487,4,2,"RIFG","non","RHLang-toLang"
5,462,46,1,0.110196,4,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.393042,4,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.798586,4,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,1.350277,4,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,0.191918,4,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.888241,4,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,0.644838,4,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.831561,4,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,0.693781,5,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,0.948613,5,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,-0.21408,5,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,1.100356,5,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.540467,5,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,0.841755,5,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.53768,5,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.309894,5,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,0.010517,5,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.565733,5,2,"RIFG","non","RHLang-toLang"
5,462,46,1,0.601453,5,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.5703,5,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.156101,5,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.63872,5,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,-0.224596,5,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.534622,5,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,-0.060986,5,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.271456,5,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,0.105191,6,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,1.545692,6,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,-0.622162,6,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,0.35666,6,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.152468,6,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,1.816521,6,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,-0.085363,6,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.140165,6,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,-0.779696,6,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.309876,6,2,"RIFG","non","RHLang-toLang"
5,462,46,1,0.171339,6,2,"RMFG","non","RHLang-toLang"
6,370,37,1,1.052983,6,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.190554,6,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,1.405527,6,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,0.157534,6,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.046784,6,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,-0.018871,6,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.763538,6,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,0.190735,7,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,0.279929,7,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,0.215855,7,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,0.241817,7,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.281178,7,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,0.377069,7,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.136094,7,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,-0.051949,7,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,0.331586,7,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.07476,7,2,"RIFG","non","RHLang-toLang"
5,462,46,1,0.281208,7,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.02979,7,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.054641,7,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.331878,7,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,-0.115731,7,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.167057,7,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,-3e-05,7,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.347279,7,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,0.636898,8,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,0.909316,8,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,0.017236,8,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,0.694852,8,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,1.702187,8,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,0.790041,8,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.541949,8,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.103227,8,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,-0.199403,8,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.680553,8,2,"RIFG","non","RHLang-toLang"
5,462,46,1,1.454936,8,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.590011,8,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.094949,8,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.806089,8,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,0.21664,8,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.014299,8,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,0.24725,8,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.20003,8,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,1.393117,9,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,1.098599,9,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,-0.036826,9,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,1.533024,9,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,1.69277,9,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,1.447411,9,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.696055,9,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.32704,9,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,-0.177674,9,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.576424,9,2,"RIFG","non","RHLang-toLang"
5,462,46,1,1.193527,9,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.884062,9,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.697062,9,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.771559,9,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,0.140848,9,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.9566,9,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,0.499243,9,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.563349,9,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,0.416362,10,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,0.711393,10,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,0.114379,10,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,1.316065,10,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.887161,10,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,0.780553,10,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.138664,10,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,-0.044438,10,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,0.097907,10,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.228816,10,2,"RIFG","non","RHLang-toLang"
5,462,46,1,0.509443,10,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.178182,10,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.277697,10,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.755831,10,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,0.016473,10,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,1.087249,10,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,0.377718,10,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.602371,10,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,1.159266,11,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,0.76727,11,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,0.184968,11,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,1.104709,11,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.554889,11,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,0.790987,11,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,0.508306,11,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.14107,11,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,0.273337,11,2,"RAngG","non","RHLang-toLang"
4,743,74,1,0.448472,11,2,"RIFG","non","RHLang-toLang"
5,462,46,1,0.629863,11,2,"RMFG","non","RHLang-toLang"
6,370,37,1,0.57488,11,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.65096,11,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.6262,11,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,-0.088369,11,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.656237,11,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,-0.074974,11,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.216106,11,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,1.627256,12,1,"RPostTemp","sent","RHLang-toLang"
2,1627,162,1,1.161882,12,1,"RAntTemp","sent","RHLang-toLang"
3,644,64,1,0.978617,12,1,"RAngG","sent","RHLang-toLang"
4,743,74,1,1.434115,12,1,"RIFG","sent","RHLang-toLang"
5,462,46,1,0.736871,12,1,"RMFG","sent","RHLang-toLang"
6,370,37,1,1.506092,12,1,"RIFGorb","sent","RHLang-toLang"
1,2948,294,1,1.071971,12,2,"RPostTemp","non","RHLang-toLang"
2,1627,162,1,0.567741,12,2,"RAntTemp","non","RHLang-toLang"
3,644,64,1,0.614054,12,2,"RAngG","non","RHLang-toLang"
4,743,74,1,1.214233,12,2,"RIFG","non","RHLang-toLang"
5,462,46,1,1.091264,12,2,"RMFG","non","RHLang-toLang"
6,370,37,1,1.101948,12,2,"RIFGorb","non","RHLang-toLang"
1,2948,294,1,0.555284,12,3,"RPostTemp","sent-non","RHLang-toLang"
2,1627,162,1,0.594142,12,3,"RAntTemp","sent-non","RHLang-toLang"
3,644,64,1,0.364563,12,3,"RAngG","sent-non","RHLang-toLang"
4,743,74,1,0.219882,12,3,"RIFG","sent-non","RHLang-toLang"
5,462,46,1,-0.354394,12,3,"RMFG","sent-non","RHLang-toLang"
6,370,37,1,0.404143,12,3,"RIFGorb","sent-non","RHLang-toLang"
1,2948,294,1,0.889642,1,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,0.618256,1,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.115432,1,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,0.9503,1,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,1.198077,1,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,0.542472,1,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.194876,1,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.040082,1,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,-0.097133,1,2,"LAngG","non","LHLang-toLang"
4,743,74,1,-0.081774,1,2,"LIFG","non","LHLang-toLang"
5,462,46,1,-0.022994,1,2,"LMFG","non","LHLang-toLang"
6,370,37,1,-0.505053,1,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,0.694766,1,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,0.578174,1,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.212565,1,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,1.032074,1,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,1.221072,1,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,1.047525,1,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,0.894492,2,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,0.685637,2,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.267767,2,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,1.807624,2,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,0.144428,2,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,1.046671,2,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.309604,2,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.023614,2,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,-0.125122,2,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.330351,2,2,"LIFG","non","LHLang-toLang"
5,462,46,1,0.034525,2,2,"LMFG","non","LHLang-toLang"
6,370,37,1,0.503607,2,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,0.584888,2,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,0.662023,2,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.392889,2,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,1.477274,2,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,0.109903,2,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,0.543064,2,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,0.833109,3,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,1.320062,3,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.054753,3,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,1.256963,3,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,0.534266,3,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,0.803319,3,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.21115,3,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.216028,3,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,-0.286186,3,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.025057,3,2,"LIFG","non","LHLang-toLang"
5,462,46,1,0.19578,3,2,"LMFG","non","LHLang-toLang"
6,370,37,1,0.070154,3,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,0.621959,3,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,1.104034,3,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.340939,3,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,1.231906,3,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,0.338486,3,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,0.733165,3,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,2.376872,4,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,1.970442,4,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,1.676732,4,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,2.152699,4,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,0.86483,4,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,1.816659,4,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.421652,4,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.372956,4,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,0.451343,4,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.409957,4,2,"LIFG","non","LHLang-toLang"
5,462,46,1,-0.213029,4,2,"LMFG","non","LHLang-toLang"
6,370,37,1,0.590621,4,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,1.95522,4,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,1.597486,4,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,1.22539,4,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,1.742742,4,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,1.077859,4,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,1.226038,4,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,1.828445,5,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,0.953543,5,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.271331,5,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,1.578271,5,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,2.684883,5,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,3.38578,5,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.961463,5,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.385359,5,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,0.27411,5,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.594658,5,2,"LIFG","non","LHLang-toLang"
5,462,46,1,0.851995,5,2,"LMFG","non","LHLang-toLang"
6,370,37,1,1.659496,5,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,0.866981,5,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,0.568184,5,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,-0.002779,5,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,0.983613,5,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,1.832887,5,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,1.726284,5,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,1.241489,6,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,1.568328,6,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.503969,6,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,1.368934,6,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,1.495874,6,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,2.196537,6,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.225375,6,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.412522,6,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,-0.272547,6,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.655958,6,2,"LIFG","non","LHLang-toLang"
5,462,46,1,0.589425,6,2,"LMFG","non","LHLang-toLang"
6,370,37,1,0.861742,6,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,1.016113,6,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,1.155806,6,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.776516,6,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,0.712976,6,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,0.90645,6,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,1.334795,6,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,1.298051,7,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,0.655925,7,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.248923,7,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,1.316019,7,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,1.564428,7,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,1.871688,7,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,-0.11716,7,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,-0.4614,7,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,0.195616,7,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.493171,7,2,"LIFG","non","LHLang-toLang"
5,462,46,1,0.650908,7,2,"LMFG","non","LHLang-toLang"
6,370,37,1,0.257395,7,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,1.41521,7,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,1.117325,7,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.053307,7,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,0.822848,7,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,0.913519,7,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,1.614293,7,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,1.69098,8,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,1.862659,8,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.520121,8,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,1.898498,8,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,2.423182,8,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,2.092111,8,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.693567,8,2,"LPostTemp","non","LHLang-toLang"
2,1627,162,1,0.401334,8,2,"LAntTemp","non","LHLang-toLang"
3,644,64,1,-0.32347,8,2,"LAngG","non","LHLang-toLang"
4,743,74,1,0.496212,8,2,"LIFG","non","LHLang-toLang"
5,462,46,1,0.755481,8,2,"LMFG","non","LHLang-toLang"
6,370,37,1,1.383538,8,2,"LIFGorb","non","LHLang-toLang"
1,2948,294,1,0.997413,8,3,"LPostTemp","sent-non","LHLang-toLang"
2,1627,162,1,1.461325,8,3,"LAntTemp","sent-non","LHLang-toLang"
3,644,64,1,0.843591,8,3,"LAngG","sent-non","LHLang-toLang"
4,743,74,1,1.402286,8,3,"LIFG","sent-non","LHLang-toLang"
5,462,46,1,1.667701,8,3,"LMFG","sent-non","LHLang-toLang"
6,370,37,1,0.708573,8,3,"LIFGorb","sent-non","LHLang-toLang"
1,2948,294,1,1.548247,9,1,"LPostTemp","sent","LHLang-toLang"
2,1627,162,1,1.148226,9,1,"LAntTemp","sent","LHLang-toLang"
3,644,64,1,0.257349,9,1,"LAngG","sent","LHLang-toLang"
4,743,74,1,3.333277,9,1,"LIFG","sent","LHLang-toLang"
5,462,46,1,1.759328,9,1,"LMFG","sent","LHLang-toLang"
6,370,37,1,1.846268,9,1,"LIFGorb","sent","LHLang-toLang"
1,2948,294,1,0.554805,9,2,"LPostTemp","non","LHLang-toLang"
