"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"5","3419","341","1.000000","0.55602","9","1"
"6","1313","131","1.000000","-0.040815","9","1"
"7","4051","405","1.000000","0.266031","9","1"
"1","1885","188","1.000000","-0.667029","9","2"
"2","3322","332","1.000000","0.474164","9","2"
"3","1525","152","1.000000","-0.763839","9","2"
"4","4182","418","1.000000","-0.191574","9","2"
"5","3419","341","1.000000","-0.077305","9","2"
"6","1313","131","1.000000","0.260876","9","2"
"7","4051","405","1.000000","0.057797","9","2"
"1","1885","188","1.000000","0.916486","9","3"
"2","3322","332","1.000000","0.66428","9","3"
"3","1525","152","1.000000","0.683471","9","3"
"4","4182","418","1.000000","0.355872","9","3"
"5","3419","341","1.000000","0.633325","9","3"
"6","1313","131","1.000000","-0.301691","9","3"
"7","4051","405","1.000000","0.208233","9","3"
