"Group","ROIName","ROI","SubjectNumber","contrastName","sigChange"
"MDRight","RPar Sup",16,1,"joke-lit",0.287327
"MDLeft","LACC",17,1,"joke-lit",0.283085
"MDRight","RACC",18,1,"joke-lit",0.250863
"MDLeft","LIFG op",1,2,"joke",0.69052
"MDRight","RIFG op",2,2,"joke",0.27742
"MDLeft","LMFG",3,2,"joke",0.602956
"MDRight","RMFG",4,2,"joke",0.450659
"MDLeft","LMFG orb",5,2,"joke",0.34449
"MDRight","RMFG orb",6,2,"joke",0.13265
"MDLeft","LPrecG",7,2,"joke",0.460125
"MDRight","RPrecG",8,2,"joke",0.5321
"MDLeft","LInsula",9,2,"joke",0.839441
"MDRight","RInsula",10,2,"joke",0.762399
"MDLeft","LSMA",11,2,"joke",1.68338
"MDRight","RSMA",12,2,"joke",0.654774
"MDLeft","LPar Inf",13,2,"joke",-0.070235
"MDRight","RPar Inf",14,2,"joke",-0.578332
"MDLeft","LPar Sup",15,2,"joke",0.739121
"MDRight","RPar Sup",16,2,"joke",-0.437421
"MDLeft","LACC",17,2,"joke",0.682185
"MDRight","RACC",18,2,"joke",0.831722
"MDLeft","LIFG op",1,2,"lit",0.714686
"MDRight","RIFG op",2,2,"lit",0.383441
"MDLeft","LMFG",3,2,"lit",0.571075
"MDRight","RMFG",4,2,"lit",0.382337
"MDLeft","LMFG orb",5,2,"lit",0.187123
"MDRight","RMFG orb",6,2,"lit",0.145297
"MDLeft","LPrecG",7,2,"lit",0.398591
"MDRight","RPrecG",8,2,"lit",0.625422
"MDLeft","LInsula",9,2,"lit",0.930752
"MDRight","RInsula",10,2,"lit",0.923244
"MDLeft","LSMA",11,2,"lit",1.902488
"MDRight","RSMA",12,2,"lit",0.716571
"MDLeft","LPar Inf",13,2,"lit",-0.101798
"MDRight","RPar Inf",14,2,"lit",-0.959889
"MDLeft","LPar Sup",15,2,"lit",0.760696
"MDRight","RPar Sup",16,2,"lit",-0.653849
"MDLeft","LACC",17,2,"lit",0.653883
"MDRight","RACC",18,2,"lit",0.857746
"MDLeft","LIFG op",1,2,"joke-lit",-0.024166
"MDRight","RIFG op",2,2,"joke-lit",-0.106021
"MDLeft","LMFG",3,2,"joke-lit",0.031881
"MDRight","RMFG",4,2,"joke-lit",0.068322
"MDLeft","LMFG orb",5,2,"joke-lit",0.157367
"MDRight","RMFG orb",6,2,"joke-lit",-0.012647
